AR9,BLK 20/22/23 DOVER CRESCENT,1.307284,103.783440,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0.00,N
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.285583,103.803215,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.50,N
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,1.284911,103.805840,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0.00,N
A1,BLK 215 ANG MO KIO STREET 22,1.366714,103.841713,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A10,BLK 201/202 ANG MO KIO STREET 22,1.368633,103.844521,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A100,BLK 650 ANG MO KIO STREET 61,1.377988,103.842606,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.00,N
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,1.367036,103.838181,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A12,BLK 229/230 ANG MO KIO ST 22,1.368510,103.838676,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A13,BLK 232/233 ANG MO KIO ST 22,1.368000,103.836807,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A15,BLK 226E-226H ANG MO KIO ST 22,1.366968,103.840416,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A2,BLK 206/207 ANG MO KIO STREET 22,1.366237,103.843048,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A20,BLK 304/307/319 ANG MO KIO ST 31,1.364943,103.848457,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.368128,103.846313,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
A23,BLK 347A ANG MO KIO AVENUE 3,1.367335,103.848915,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.90,N
A24,BLK 338/340 ANG MO KIO ST 32,1.364753,103.849396,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N
A25,BLK 330/337 ANG MO KIO AVE 8,1.362769,103.851631,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N
